"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Europe","High-income","San Marino","0 [0-0]","0","0","0",
"Number of prevalent tuberculosis cases ","Published","2007","Africa","Low-income","Ethiopia","240000 [180000-300000]","240000","180000","300000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","South-East Asia","Low-income","Bangladesh","437 [220-727]","437","220","727",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Eastern Mediterranean","Upper-middle-income","Libya","340 [140-610]","340","140","610",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Africa","Low-income","Gambia","42 [17-80]","42","17","80",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Europe","Lower-middle-income","Turkmenistan","19 [12-26]","19","12","26",
"Number of prevalent tuberculosis cases ","Published","2012","Africa","Lower-middle-income","Nigeria","270000 [43000-710000]","270000","43000","710000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Africa","Low-income","Togo","9.3 [4.1-17]","9.3","4.1","17",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Africa","Lower-middle-income","Angola","34 [16-60]","34","16","60",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Europe","Upper-middle-income","Latvia","3.3 [3.2-3.4]","3.3","3.2","3.4",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Europe","Upper-middle-income","Russian Federation","15 [14-15]","15","14","15",
"Number of prevalent tuberculosis cases ","Published","2010","Africa","Low-income","Burundi","20000 [11000-33000]","20000","11000","33000",
"Number of prevalent tuberculosis cases ","Published","2007","Americas","Upper-middle-income","Brazil","110000 [46000-210000]","110000","46000","210000",
"Number of prevalent tuberculosis cases ","Published","2007","Europe","High-income","Switzerland","570 [170-1200]","570","170","1200",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Africa","Low-income","Mozambique","51 [3.7-160]","51","3.7","160",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Western Pacific","Lower-middle-income","Tonga","2.8 [1.1-5.1]","2.8","1.1","5.1",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Western Pacific","High-income","Brunei Darussalam","3.3 [3-3.6]","3.3","3","3.6",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","Upper-middle-income","Turkey","24 [11-41]","24","11","41",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Europe","High-income","Czech Republic","7.2 [2.9-13]","7.2","2.9","13",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Low-income","United Republic of Tanzania","14 [7.6-23]","14","7.6","23",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Americas","Upper-middle-income","Chile","1.3 [1.3-1.4]","1.3","1.3","1.4",
"Number of prevalent tuberculosis cases ","Published","2008","Africa","Low-income","Guinea","32000 [16000-55000]","32000","16000","55000",
"Number of prevalent tuberculosis cases ","Published","2008","Europe","Upper-middle-income","Russian Federation","260000 [130000-450000]","260000","130000","450000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Eastern Mediterranean","Lower-middle-income","Sudan","22 [9.6-40]","22","9.6","40",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Americas","Lower-middle-income","Honduras","82 [27-168]","82","27","168",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","High-income","Hungary","73 [73-73]","73","73","73",
"Number of prevalent tuberculosis cases ","Published","2010","Africa","Low-income","Madagascar","97000 [49000-160000]","97000","49000","160000",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Americas","Upper-middle-income","Chile","260 [250-270]","260","250","270",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Africa","Lower-middle-income","C?te d'Ivoire","4700 [2200-8300]","4700","2200","8300",
"Number of prevalent tuberculosis cases ","Published","2012","Europe","High-income","Spain","8100 [3200-15000]","8100","3200","15000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Africa","Upper-middle-income","Namibia","1019 [321-2105]","1019","321","2105",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","High-income","Cyprus","2.3 [1.8-2.8]","2.3","1.8","2.8",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Americas","Upper-middle-income","Costa Rica","46 [42-51]","46","42","51",
"Number of prevalent tuberculosis cases ","Published","2007","Africa","Lower-middle-income","Angola","64000 [25000-120000]","64000","25000","120000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Western Pacific","Lower-middle-income","Vanuatu","7.9 [3.6-14]","7.9","3.6","14",
"Number of prevalent tuberculosis cases ","Published","2011","Eastern Mediterranean","Lower-middle-income","Jordan","570 [250-1000]","570","250","1000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Africa","Lower-middle-income","C?te d'Ivoire","297 [154-485]","297","154","485",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Europe","High-income","Finland","8.2 [2.9-16]","8.2","2.9","16",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","South-East Asia","Lower-middle-income","Maldives","56 [23-103]","56","23","103",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Lower-middle-income","Congo","45 [20-81]","45","20","81",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Europe","High-income","San Marino","0 [0-0]","0","0","0",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Europe","High-income","Portugal","1.5 [1.4-1.6]","1.5","1.4","1.6",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Europe","High-income","Cyprus","8.2 [3.7-14]","8.2","3.7","14",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Eastern Mediterranean","Upper-middle-income","Libya","53 [20-101]","53","20","101",
"Number of prevalent tuberculosis cases ","Published","2007","Africa","Low-income","Malawi","33000 [13000-62000]","33000","13000","62000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Africa","Low-income","Guinea","24 [10-42]","24","10","42",
"Number of prevalent tuberculosis cases ","Published","2012","Americas","High-income","Trinidad and Tobago","370 [170-650]","370","170","650",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Africa","Upper-middle-income","Mauritius","19 [19-19]","19","19","19",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Americas","Lower-middle-income","Nicaragua","190 [150-240]","190","150","240",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Africa","Upper-middle-income","Mauritius","42 [21-70]","42","21","70",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Western Pacific","Lower-middle-income","Kiribati","17 [9.5-26]","17","9.5","26",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Eastern Mediterranean","High-income","Saudi Arabia","3.9 [0.37-11]","3.9","0.37","11",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Africa","Lower-middle-income","Cabo Verde","120 [49-220]","120","49","220",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Western Pacific","Lower-middle-income","Samoa","29 [13-50]","29","13","50",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Eastern Mediterranean","Lower-middle-income","Tunisia","37 [16-67]","37","16","67",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Americas","Low-income","Haiti","296 [140-509]","296","140","509",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Americas","Lower-middle-income","Belize","12 [12-12]","12","12","12",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Americas","Upper-middle-income","Grenada","7.1 [2.2-15]","7.1","2.2","15",
"Number of prevalent tuberculosis cases ","Published","2010","Western Pacific","High-income","Japan","37000 [16000-66000]","37000","16000","66000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Europe","Upper-middle-income","The former Yugoslav Republic of Macedonia","29 [8.6-61]","29","8.6","61",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Americas","High-income","Antigua and Barbuda","1.2 [1.1-1.3]","1.2","1.1","1.3",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Americas","Lower-middle-income","Paraguay","69 [34-117]","69","34","117",
"Number of prevalent tuberculosis cases ","Published","2012","South-East Asia","Lower-middle-income","Bhutan","1700 [580-3300]","1700","580","3300",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","High-income","Denmark","22 [21-23]","22","21","23",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Europe","Upper-middle-income","Bulgaria","2.2 [2.2-2.2]","2.2","2.2","2.2",
"Number of prevalent tuberculosis cases ","Published","2007","Europe","High-income","Netherlands","1300 [440-2500]","1300","440","2500",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Americas","Upper-middle-income","Dominica","2 [2-2]","2","2","2",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Africa","Low-income","Uganda","222 [84-425]","222","84","425",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Eastern Mediterranean","Low-income","Yemen","9.6 [4.1-17]","9.6","4.1","17",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Africa","Lower-middle-income","Lesotho","270 [0.41-1300]","270","0.41","1300",
"Number of prevalent tuberculosis cases ","Published","2011","Europe","Low-income","Kyrgyzstan","11000 [5200-20000]","11000","5200","20000",
"Number of prevalent tuberculosis cases ","Published","2012","Europe","Lower-middle-income","Albania","680 [280-1300]","680","280","1300",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","Lower-middle-income","Armenia","190 [150-230]","190","150","230",
"Number of prevalent tuberculosis cases ","Published","2011","Europe","High-income","Luxembourg","36 [13-71]","36","13","71",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Europe","High-income","United Kingdom","20 [8.4-36]","20","8.4","36",
"Number of prevalent tuberculosis cases ","Published","2011","Europe","Upper-middle-income","Bosnia and Herzegovina","2700 [1200-4800]","2700","1200","4800",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Africa","Low-income","United Republic of Tanzania","183 [97-295]","183","97","295",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Europe","High-income","Slovenia","29 [29-29]","29","29","29",
"Number of prevalent tuberculosis cases ","Published","2012","Western Pacific","Lower-middle-income","Tonga","27 [14-45]","27","14","45",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Eastern Mediterranean","Lower-middle-income","Sudan","210 [105-350]","210","105","350",
"Number of prevalent tuberculosis cases ","Published","2012","Africa","Low-income","Comoros","440 [220-740]","440","220","740",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Americas","Upper-middle-income","Mexico","1.8 [1.7-1.9]","1.8","1.7","1.9",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Africa","Low-income","Comoros","6.3 [2.6-12]","6.3","2.6","12",
"Number of prevalent tuberculosis cases ","Published","2007","Africa","Low-income","Mozambique","120000 [17000-330000]","120000","17000","330000",
"Number of prevalent tuberculosis cases ","Published","2007","Africa","Low-income","Sierra Leone","65000 [31000-110000]","65000","31000","110000",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Americas","Upper-middle-income","Dominican Republic","560 [400-750]","560","400","750",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Africa","Low-income","Senegal","2400 [1100-4300]","2400","1100","4300",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Western Pacific","Lower-middle-income","Marshall Islands","1079 [54-3565]","1079","54","3565",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Americas","Lower-middle-income","Ecuador","530 [460-610]","530","460","610",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Western Pacific","High-income","Cook Islands","0.4 [0.34-0.46]","0.4","0.34","0.46",
"Number of prevalent tuberculosis cases ","Published","2011","Eastern Mediterranean","High-income","Kuwait","980 [330-2000]","980","330","2000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Europe","Lower-middle-income","Turkmenistan","166 [79-283]","166","79","283",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","South-East Asia","Lower-middle-income","India","230 [155-319]","230","155","319",
"Number of prevalent tuberculosis cases ","Published","2009","Europe","Upper-middle-income","Romania","36000 [16000-66000]","36000","16000","66000",
"Number of prevalent tuberculosis cases ","Published","2008","Europe","Low-income","Kyrgyzstan","13000 [5800-23000]","13000","5800","23000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Eastern Mediterranean","Lower-middle-income","Iraq","73 [36-122]","73","36","122",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Eastern Mediterranean","Low-income","Yemen","72 [32-129]","72","32","129",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Africa","Lower-middle-income","Lesotho","200 [0-1800]","200","0","1800",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Africa","Low-income","Togo","99 [47-169]","99","47","169",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Africa","Lower-middle-income","C?te d'Ivoire","5300 [2400-9300]","5300","2400","9300",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Western Pacific","Low-income","Viet Nam","19000 [13000-26000]","19000","13000","26000",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Africa","Low-income","Zambia","3200 [970-6800]","3200","970","6800",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","South-East Asia","Low-income","Democratic People's Republic of Korea","479 [130-1049]","479","130","1049",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","South-East Asia","Low-income","Democratic People's Republic of Korea","2500 [2300-2700]","2500","2300","2700",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","South-East Asia","Lower-middle-income","Thailand","208 [101-353]","208","101","353",
"Number of prevalent tuberculosis cases ","Published","2010","Africa","Low-income","Chad","28000 [14000-47000]","28000","14000","47000",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Europe","Upper-middle-income","Poland","800 [770-830]","800","770","830",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Europe","High-income","Hungary","120 [120-120]","120","120","120",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Americas","High-income","Bahamas","1.8 [1.8-1.9]","1.8","1.8","1.9",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Western Pacific","Lower-middle-income","Papua New Guinea","52 [16-107]","52","16","107",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Lower-middle-income","C?te d'Ivoire","29 [13-51]","29","13","51",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Western Pacific","Upper-middle-income","Fiji","1.7 [1.6-1.7]","1.7","1.6","1.7",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Western Pacific","Lower-middle-income","Mongolia","8.1 [3.4-15]","8.1","3.4","15",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Europe","High-income","Slovakia","13 [5-24]","13","5","24",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Africa","High-income","Equatorial Guinea","156 [70-275]","156","70","275",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Americas","Lower-middle-income","Bolivia (Plurinational State of)","245 [120-414]","245","120","414",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Africa","Low-income","Kenya","20 [12-30]","20","12","30",
"Number of prevalent tuberculosis cases ","Published","2007","Europe","Upper-middle-income","Belarus","10000 [4300-19000]","10000","4300","19000",
"Number of prevalent tuberculosis cases ","Published","2011","Western Pacific","High-income","Brunei Darussalam","360 [140-660]","360","140","660",
"Number of prevalent tuberculosis cases ","Published","2007","Eastern Mediterranean","Lower-middle-income","Pakistan","710000 [360000-1200000]","710000","360000","1200000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Eastern Mediterranean","Low-income","Somalia","59 [24-111]","59","24","111",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Africa","Upper-middle-income","Namibia","18 [15-23]","18","15","23",
"Number of prevalent tuberculosis cases ","Published","2009","Western Pacific","Upper-middle-income","Fiji","450 [240-730]","450","240","730",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Eastern Mediterranean","Lower-middle-income","Pakistan","64000 [28000-110000]","64000","28000","110000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Europe","High-income","Andorra","0.58 [0.01-2.3]","0.58","0.01","2.3",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Eastern Mediterranean","High-income","United Arab Emirates","4.2 [1.8-7.4]","4.2","1.8","7.4",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","470 [220-810]","470","220","810",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Americas","High-income","United States of America","580 [550-600]","580","550","600",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Americas","High-income","Trinidad and Tobago","28 [13-48]","28","13","48",
"Number of prevalent tuberculosis cases ","Published","2011","Europe","High-income","Estonia","440 [200-780]","440","200","780",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Western Pacific","Upper-middle-income","Fiji","15 [14-15]","15","14","15",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Europe","High-income","Italy","0.56 [0.56-0.57]","0.56","0.56","0.57",
"Number of prevalent tuberculosis cases ","Published","2007","Europe","Upper-middle-income","Montenegro","210 [80-410]","210","80","410",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Eastern Mediterranean","Lower-middle-income","Egypt","30 [15-50]","30","15","50",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Africa","High-income","Equatorial Guinea","0 [0-41]","0","0","41",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Europe","High-income","Greece","8.7 [3.9-15]","8.7","3.9","15",
"Number of prevalent tuberculosis cases ","Published","2011","Africa","Upper-middle-income","Gabon","9800 [4700-17000]","9800","4700","17000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Africa","Lower-middle-income","Sao Tome and Principe","159 [80-264]","159","80","264",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Europe","High-income","Denmark","0.4 [0.38-0.42]","0.4","0.38","0.42",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Europe","Low-income","Tajikistan","650 [490-830]","650","490","830",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Europe","Lower-middle-income","Albania","0.31 [0.16-0.49]","0.31","0.16","0.49",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Europe","High-income","Belgium","15 [6.8-27]","15","6.8","27",
"Number of prevalent tuberculosis cases ","Published","2012","Europe","Lower-middle-income","Azerbaijan","12000 [4100-23000]","12000","4100","23000",
"Number of prevalent tuberculosis cases ","Published","2010","Europe","High-income","Belgium","1700 [740-2900]","1700","740","2900",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Americas","High-income","Canada","71 [70-71]","71","70","71",
"Number of prevalent tuberculosis cases ","Published","2010","Africa","Low-income","Malawi","27000 [14000-45000]","27000","14000","45000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Americas","High-income","Canada","6.3 [2.7-11]","6.3","2.7","11",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Europe","High-income","United Kingdom","0.63 [0.62-0.64]","0.63","0.62","0.64",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Americas","High-income","Antigua and Barbuda","1.4 [1.2-1.5]","1.4","1.2","1.5",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Eastern Mediterranean","Lower-middle-income","Tunisia","41 [16-78]","41","16","78",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Africa","Low-income","Sierra Leone","134 [50-257]","134","50","257",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Eastern Mediterranean","High-income","Oman","28 [0-260]","28","0","260",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Africa","Lower-middle-income","Cabo Verde","272 [135-455]","272","135","455",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","Low-income","Tajikistan","181 [85-315]","181","85","315",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Africa","Lower-middle-income","Cabo Verde","25 [10-46]","25","10","46",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Upper-middle-income","Mauritius","1.2 [1.2-1.2]","1.2","1.2","1.2",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","Upper-middle-income","Montenegro","1.2 [0.84-1.5]","1.2","0.84","1.5",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Africa","Low-income","Mauritania","713 [339-1224]","713","339","1224",
"Number of prevalent tuberculosis cases ","Published","2011","Eastern Mediterranean","High-income","United Arab Emirates","370 [160-660]","370","160","660",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Europe","Low-income","Kyrgyzstan","570 [560-570]","570","560","570",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","South-East Asia","Lower-middle-income","Timor-Leste","650 [290-1200]","650","290","1200",
"Number of prevalent tuberculosis cases ","Published","2008","Europe","Lower-middle-income","Republic of Moldova","9100 [4000-16000]","9100","4000","16000",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Africa","Upper-middle-income","Algeria","4900 [1700-9700]","4900","1700","9700",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Europe","High-income","France","17 [8.7-27]","17","8.7","27",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Africa","Lower-middle-income","Cabo Verde","140 [54-260]","140","54","260",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Eastern Mediterranean","High-income","Oman","16 [6.1-31]","16","6.1","31",
"Number of prevalent tuberculosis cases ","Published","2007","Africa","Low-income","Burundi","21000 [11000-34000]","21000","11000","34000",
"Number of prevalent tuberculosis cases ","Published","2007","Africa","Upper-middle-income","South Africa","370000 [110000-780000]","370000","110000","780000",
"Number of prevalent tuberculosis cases ","Published","2010","South-East Asia","Low-income","Nepal","64000 [28000-110000]","64000","28000","110000",
"Number of prevalent tuberculosis cases ","Published","2011","Western Pacific","Upper-middle-income","Malaysia","31000 [14000-54000]","31000","14000","54000",
"Number of prevalent tuberculosis cases ","Published","2009","Europe","High-income","San Marino","0.6 [0.24-1.1]","0.6","0.24","1.1",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Eastern Mediterranean","Upper-middle-income","Lebanon","20 [8.5-37]","20","8.5","37",
"Number of prevalent tuberculosis cases ","Published","2012","Europe","Lower-middle-income","Georgia","6900 [2900-13000]","6900","2900","13000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Eastern Mediterranean","Upper-middle-income","Libya","4.5 [1.9-8]","4.5","1.9","8",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Africa","Lower-middle-income","Congo","559 [266-958]","559","266","958",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Americas","Lower-middle-income","Honduras","2.9 [0.08-11]","2.9","0.08","11",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Africa","Low-income","Burkina Faso","8.8 [3.9-16]","8.8","3.9","16",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Africa","Low-income","Guinea","287 [143-481]","287","143","481",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Americas","High-income","Barbados","2 [1.9-2]","2","1.9","2",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Western Pacific","Lower-middle-income","Marshall Islands","58 [0.72-240]","58","0.72","240",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Americas","Lower-middle-income","Guyana","15 [12-17]","15","12","17",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Africa","Lower-middle-income","Cameroon","320 [152-549]","320","152","549",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Eastern Mediterranean","Lower-middle-income","Sudan","22 [9.4-40]","22","9.4","40",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Americas","Lower-middle-income","Honduras","86 [29-172]","86","29","172",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Africa","Low-income","Comoros","6.7 [2.9-12]","6.7","2.9","12",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Americas","Upper-middle-income","Peru","1800 [1300-2300]","1800","1300","2300",
"Number of prevalent tuberculosis cases ","Published","2009","Americas","Lower-middle-income","Honduras","6400 [2200-13000]","6400","2200","13000",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Africa","Low-income","Mauritania","2800 [1100-5400]","2800","1100","5400",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Europe","Lower-middle-income","Albania","24 [11-44]","24","11","44",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Eastern Mediterranean","Lower-middle-income","Sudan","217 [110-361]","217","110","361",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Africa","Lower-middle-income","Cameroon","6300 [2700-11000]","6300","2700","11000",
"Number of prevalent tuberculosis cases ","Published","2009","Americas","Upper-middle-income","Costa Rica","1100 [560-1800]","1100","560","1800",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Western Pacific","Lower-middle-income","Marshall Islands","111 [1.4-448]","111","1.4","448",
"Number of prevalent tuberculosis cases ","Published","2010","Europe","Low-income","Uzbekistan","63000 [32000-100000]","63000","32000","100000",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Eastern Mediterranean","High-income","Kuwait","18 [18-18]","18","18","18",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Western Pacific","Lower-middle-income","China","3.5 [3.4-3.6]","3.5","3.4","3.6",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Africa","Low-income","Mali","9.5 [4.5-16]","9.5","4.5","16",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Europe","Upper-middle-income","The former Yugoslav Republic of Macedonia","34 [33-35]","34","33","35",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Americas","Upper-middle-income","Cuba","14 [6.2-25]","14","6.2","25",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Europe","High-income","San Marino","2 [0.79-3.7]","2","0.79","3.7",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2011","Africa","Lower-middle-income","Congo","44 [19-78]","44","19","78",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Africa","Low-income","Ethiopia","20000 [12000-29000]","20000","12000","29000",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","High-income","San Marino","0 [0-0]","0","0","0",
"Number of prevalent tuberculosis cases ","Published","2007","Europe","High-income","Andorra","8 [2.4-17]","8","2.4","17",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Europe","High-income","Finland","0.3 [0.3-0.3]","0.3","0.3","0.3",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Africa","Low-income","Ethiopia","296 [227-374]","296","227","374",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","South-East Asia","Low-income","Bangladesh","46 [19-85]","46","19","85",
"Number of prevalent tuberculosis cases ","Published","2011","Western Pacific","High-income","Australia","1900 [740-3500]","1900","740","3500",
