"DE","Year","Country","CO","Numeric"
"Number of prevalent tuberculosis cases ","2007","Lithuania",,"3800"
"Number of prevalent tuberculosis cases ","2012","Central African Republic",,"24000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Trinidad and Tobago",,"2.1"
"Number of prevalent tuberculosis cases ","2010","Zambia",,"51000"
"Prevalence of tuberculosis (per 100 000 population)","2011","Malta",,"10"
"Number of deaths due to tuberculosis excluding HIV","2012","Central African Republic",,"2200"
"Prevalence of tuberculosis (per 100 000 population)","2008","Myanmar",,"564"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Malawi",,"17"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Czech Republic",,"0.46"
"Prevalence of tuberculosis (per 100 000 population)","2012","Timor-Leste",,"758"
"Number of deaths due to tuberculosis excluding HIV","2010","Jamaica",,"7.1"
"Prevalence of tuberculosis (per 100 000 population)","2010","Djibouti",,"922"
"Number of deaths due to tuberculosis excluding HIV","2010","Colombia",,"900"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Iceland",,"0.29"
"Prevalence of tuberculosis (per 100 000 population)","2008","Turkey",,"25"
"Number of prevalent tuberculosis cases ","2011","Comoros",,"450"
"Number of deaths due to tuberculosis excluding HIV","2008","Dominican Republic",,"590"
"Prevalence of tuberculosis (per 100 000 population)","2007","Seychelles",,"62"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Bangladesh",,"49"
"Number of prevalent tuberculosis cases ","2010","Lao People's Democratic Republic",,"36000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Grenada",,"0.73"
"Prevalence of tuberculosis (per 100 000 population)","2011","Myanmar",,"506"
"Number of deaths due to tuberculosis excluding HIV","2007","Japan",,"2200"
"Number of deaths due to tuberculosis excluding HIV","2009","Bhutan",,"190"
"Number of prevalent tuberculosis cases ","2009","Serbia",,"4000"
"Number of prevalent tuberculosis cases ","2012","Ukraine",,"62000"
"Prevalence of tuberculosis (per 100 000 population)","2011","India",,"249"
"Prevalence of tuberculosis (per 100 000 population)","2008","Malta",,"22"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Ethiopia",,"25"
"Number of prevalent tuberculosis cases ","2012","Lesotho",,"8700"
"Number of deaths due to tuberculosis excluding HIV","2007","Andorra",,"0.29"
"Number of prevalent tuberculosis cases ","2008","Malaysia",,"33000"
"Prevalence of tuberculosis (per 100 000 population)","2010","Yemen",,"73"
"Prevalence of tuberculosis (per 100 000 population)","2010","Argentina",,"40"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Montenegro",,"0.19"
"Prevalence of tuberculosis (per 100 000 population)","2010","Qatar",,"47"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Uruguay",,"1.6"
"Prevalence of tuberculosis (per 100 000 population)","2011","Uganda",,"192"
"Number of deaths due to tuberculosis excluding HIV","2010","Egypt",,"450"
"Number of prevalent tuberculosis cases ","2012","Sao Tome and Principe",,"300"
"Number of deaths due to tuberculosis excluding HIV","2011","Australia",,"40"
"Number of deaths due to tuberculosis excluding HIV","2011","Mali",,"1300"
"Number of prevalent tuberculosis cases ","2007","Grenada",,"6.9"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Djibouti",,"84"
"Number of deaths due to tuberculosis excluding HIV","2007","Ecuador",,"920"
"Prevalence of tuberculosis (per 100 000 population)","2010","Russian Federation",,"152"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Mexico",,"2.2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Bosnia and Herzegovina",,"5.2"
"Number of prevalent tuberculosis cases ","2010","Russian Federation",,"220000"
"Number of prevalent tuberculosis cases ","2012","Peru",,"36000"
"Prevalence of tuberculosis (per 100 000 population)","2008","Armenia",,"110"
"Number of deaths due to tuberculosis excluding HIV","2008","Niger",,"3100"
"Number of deaths due to tuberculosis excluding HIV","2011","Brunei Darussalam",,"12"
"Prevalence of tuberculosis (per 100 000 population)","2009","Saudi Arabia",,"23"
"Prevalence of tuberculosis (per 100 000 population)","2012","Peru",,"121"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","United Republic of Tanzania",,"14"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Nauru",,"4.8"
"Prevalence of tuberculosis (per 100 000 population)","2011","Comoros",,"64"
"Number of prevalent tuberculosis cases ","2009","Sudan",,"94000"
"Number of deaths due to tuberculosis excluding HIV","2007","Morocco",,"3300"
"Number of prevalent tuberculosis cases ","2008","Comoros",,"420"
"Prevalence of tuberculosis (per 100 000 population)","2007","United Republic of Tanzania",,"195"
"Number of prevalent tuberculosis cases ","2011","New Zealand",,"500"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Saudi Arabia",,"3.9"
"Number of prevalent tuberculosis cases ","2010","Burkina Faso",,"14000"
"Prevalence of tuberculosis (per 100 000 population)","2007","Bosnia and Herzegovina",,"61"
"Number of prevalent tuberculosis cases ","2008","Dominica",,"11"
"Prevalence of tuberculosis (per 100 000 population)","2012","The former Yugoslav Republic of Macedonia",,"26"
"Prevalence of tuberculosis (per 100 000 population)","2007","Germany",,"8.7"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Cook Islands",,"2.3"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Portugal",,"1.2"
"Prevalence of tuberculosis (per 100 000 population)","2008","India",,"308"
"Prevalence of tuberculosis (per 100 000 population)","2010","Libya",,"58"
"Number of deaths due to tuberculosis excluding HIV","2008","India",,"360000"
"Number of prevalent tuberculosis cases ","2007","Germany",,"7300"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Democratic People's Republic of Korea",,"10"
"Number of prevalent tuberculosis cases ","2010","Mauritania",,"27000"
"Prevalence of tuberculosis (per 100 000 population)","2011","Cyprus",,"6.2"
"Number of prevalent tuberculosis cases ","2009","Bangladesh",,"660000"
"Prevalence of tuberculosis (per 100 000 population)","2009","Benin",,"108"
"Prevalence of tuberculosis (per 100 000 population)","2008","Iraq",,"73"
"Prevalence of tuberculosis (per 100 000 population)","2011","Denmark",,"10"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Botswana",,"26"
"Number of prevalent tuberculosis cases ","2011","Tonga",,"28"
"Prevalence of tuberculosis (per 100 000 population)","2007","Ecuador",,"134"
"Prevalence of tuberculosis (per 100 000 population)","2010","Mauritius",,"41"
"Number of prevalent tuberculosis cases ","2009","Benin",,"10000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Democratic Republic of the Congo",,"53"
"Number of deaths due to tuberculosis excluding HIV","2008","Armenia",,"260"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Niger",,"21"
"Number of deaths due to tuberculosis excluding HIV","2010","Sweden",,"14"
"Number of deaths due to tuberculosis excluding HIV","2009","Democratic Republic of the Congo",,"32000"
"Number of prevalent tuberculosis cases ","2010","Nicaragua",,"2900"
"Prevalence of tuberculosis (per 100 000 population)","2011","New Zealand",,"11"
"Number of prevalent tuberculosis cases ","2012","Iceland",,"14"
"Number of prevalent tuberculosis cases ","2010","Antigua and Barbuda",,"4.6"
"Number of prevalent tuberculosis cases ","2011","Haiti",,"31000"
"Number of deaths due to tuberculosis excluding HIV","2011","Cyprus",,"2.4"
"Number of deaths due to tuberculosis excluding HIV","2009","Sierra Leone",,"8000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Iran (Islamic Republic of)",,"2.8"
"Number of prevalent tuberculosis cases ","2008","Iraq",,"22000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Ghana",,"15"
"Prevalence of tuberculosis (per 100 000 population)","2007","Sweden",,"7.3"
"Number of prevalent tuberculosis cases ","2010","Cabo Verde",,"1300"
"Prevalence of tuberculosis (per 100 000 population)","2007","Liberia",,"484"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Senegal",,"20"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","India",,"24"
"Number of prevalent tuberculosis cases ","2007","Sri Lanka",,"22000"
"Number of prevalent tuberculosis cases ","2012","Belgium",,"1400"
"Number of deaths due to tuberculosis excluding HIV","2007","Portugal",,"150"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Iraq",,"3"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Malta",,"0.22"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Saint Lucia",,"1.5"
"Number of prevalent tuberculosis cases ","2012","Timor-Leste",,"8400"
"Number of deaths due to tuberculosis excluding HIV","2008","Philippines",,"28000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Monaco",,"0.19"
"Prevalence of tuberculosis (per 100 000 population)","2007","Portugal",,"39"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Guatemala",,"2.9"
"Prevalence of tuberculosis (per 100 000 population)","2007","Micronesia (Federated States of)",,"389"
"Number of deaths due to tuberculosis excluding HIV","2007","Ghana",,"3500"
"Number of deaths due to tuberculosis excluding HIV","2008","Kiribati",,"16"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","United Kingdom",,"0.52"
"Prevalence of tuberculosis (per 100 000 population)","2008","Niue",,"11"
"Number of prevalent tuberculosis cases ","2007","Sweden",,"660"
"Number of prevalent tuberculosis cases ","2012","Oman",,"600"
"Prevalence of tuberculosis (per 100 000 population)","2010","Cabo Verde",,"257"
"Number of deaths due to tuberculosis excluding HIV","2012","Sudan",,"8000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Germany",,"0.36"
"Number of deaths due to tuberculosis excluding HIV","2011","Timor-Leste",,"670"
"Prevalence of tuberculosis (per 100 000 population)","2010","Mauritania",,"756"
"Number of deaths due to tuberculosis excluding HIV","2009","Algeria",,"5000"
"Number of deaths due to tuberculosis excluding HIV","2008","Rwanda",,"1400"
"Number of deaths due to tuberculosis excluding HIV","2007","Micronesia (Federated States of)",,"44"
"Number of prevalent tuberculosis cases ","2011","Denmark",,"580"
"Number of prevalent tuberculosis cases ","2007","United Kingdom",,"12000"
"Number of deaths due to tuberculosis excluding HIV","2007","Lithuania",,"350"
"Number of deaths due to tuberculosis excluding HIV","2011","Dominica",,"1.5"
"Number of deaths due to tuberculosis excluding HIV","2010","United Kingdom",,"320"
"Number of prevalent tuberculosis cases ","2008","Senegal",,"28000"
"Number of prevalent tuberculosis cases ","2012","Nepal",,"66000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Argentina",,"1.7"
"Number of prevalent tuberculosis cases ","2010","Congo",,"23000"
"Prevalence of tuberculosis (per 100 000 population)","2010","Congo",,"557"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Zambia",,"24"
"Number of deaths due to tuberculosis excluding HIV","2010","Libya",,"320"
"Number of prevalent tuberculosis cases ","2011","Albania",,"720"
"Prevalence of tuberculosis (per 100 000 population)","2008","Senegal",,"225"
"Number of deaths due to tuberculosis excluding HIV","2008","Indonesia",,"72000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Lao People's Democratic Republic",,"14"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","United States of America",,"0.19"
"Prevalence of tuberculosis (per 100 000 population)","2009","Algeria",,"147"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Uganda",,"19"
"Number of prevalent tuberculosis cases ","2008","Mali",,"13000"
"Number of deaths due to tuberculosis excluding HIV","2008","Greece",,"110"
"Prevalence of tuberculosis (per 100 000 population)","2011","Dominica",,"23"
"Prevalence of tuberculosis (per 100 000 population)","2011","Brunei Darussalam",,"87"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Morocco",,"11"
"Number of prevalent tuberculosis cases ","2009","Saudi Arabia",,"6100"
"Number of prevalent tuberculosis cases ","2011","Honduras",,"6500"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Syrian Arab Republic",,"2.4"
"Number of prevalent tuberculosis cases ","2007","United Republic of Tanzania",,"80000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Indonesia",,"31"
"Number of deaths due to tuberculosis excluding HIV","2012","Saudi Arabia",,"1100"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Nigeria",,"21"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Greece",,"0.7"
"Prevalence of tuberculosis (per 100 000 population)","2007","Luxembourg",,"14"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Myanmar",,"57"
"Number of deaths due to tuberculosis excluding HIV","2007","Bolivia (Plurinational State of)",,"2200"
"Number of deaths due to tuberculosis excluding HIV","2008","Guatemala",,"390"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Mali",,"9.1"
"Number of prevalent tuberculosis cases ","2009","Uruguay",,"1000"
"Number of prevalent tuberculosis cases ","2011","Costa Rica",,"780"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Sudan",,"22"
"Prevalence of tuberculosis (per 100 000 population)","2012","Burundi",,"199"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Liberia",,"48"
"Prevalence of tuberculosis (per 100 000 population)","2010","Austria",,"12"
"Number of prevalent tuberculosis cases ","2010","Austria",,"1000"
"Number of prevalent tuberculosis cases ","2007","Zambia",,"46000"
"Number of prevalent tuberculosis cases ","2011","Palau",,"21"
"Number of prevalent tuberculosis cases ","2012","Paraguay",,"4200"
"Prevalence of tuberculosis (per 100 000 population)","2007","Zambia",,"376"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Thailand",,"16"
"Number of prevalent tuberculosis cases ","2008","Jordan",,"550"
"Prevalence of tuberculosis (per 100 000 population)","2008","Jordan",,"9.3"
"Number of prevalent tuberculosis cases ","2009","Trinidad and Tobago",,"390"
"Prevalence of tuberculosis (per 100 000 population)","2009","Timor-Leste",,"687"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Slovakia",,"0.63"
"Number of prevalent tuberculosis cases ","2011","Zimbabwe",,"61000"
"Number of deaths due to tuberculosis excluding HIV","2007","France",,"360"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Equatorial Guinea",,"0"
"Number of deaths due to tuberculosis excluding HIV","2007","Kenya",,"8500"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Bhutan",,"27"
"Number of prevalent tuberculosis cases ","2007","Bahamas",,"55"
"Number of deaths due to tuberculosis excluding HIV","2011","Croatia",,"66"
"Number of prevalent tuberculosis cases ","2012","El Salvador",,"2200"
"Prevalence of tuberculosis (per 100 000 population)","2010","Saint Vincent and the Grenadines",,"32"
"Number of deaths due to tuberculosis excluding HIV","2010","Somalia",,"5700"
"Prevalence of tuberculosis (per 100 000 population)","2010","Seychelles",,"52"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Turkey",,"1.2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Afghanistan",,"36"
"Prevalence of tuberculosis (per 100 000 population)","2007","Belarus",,"107"
"Number of deaths due to tuberculosis excluding HIV","2012","Kazakhstan",,"1300"
"Prevalence of tuberculosis (per 100 000 population)","2010","Chad",,"237"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Belarus",,"8"
"Prevalence of tuberculosis (per 100 000 population)","2009","Hungary",,"25"
"Number of deaths due to tuberculosis excluding HIV","2012","Slovakia",,"34"
"Number of prevalent tuberculosis cases ","2007","Somalia",,"48000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","South Africa",,"51"
"Number of prevalent tuberculosis cases ","2009","Kazakhstan",,"45000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Viet Nam",,"22"
"Prevalence of tuberculosis (per 100 000 population)","2007","South Africa",,"753"
"Number of deaths due to tuberculosis excluding HIV","2009","Cook Islands",,"0.46"
"Prevalence of tuberculosis (per 100 000 population)","2011","Malaysia",,"107"
"Number of deaths due to tuberculosis excluding HIV","2011","Jordan",,"37"
"Prevalence of tuberculosis (per 100 000 population)","2007","Lithuania",,"118"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Jordan",,"0.55"
"Number of prevalent tuberculosis cases ","2007","Qatar",,"590"
"Number of prevalent tuberculosis cases ","2007","Thailand",,"140000"
"Number of prevalent tuberculosis cases ","2007","Seychelles",,"55"
"Number of deaths due to tuberculosis excluding HIV","2009","Suriname",,"15"
"Number of prevalent tuberculosis cases ","2011","Israel",,"630"
"Prevalence of tuberculosis (per 100 000 population)","2012","Kazakhstan",,"189"
"Prevalence of tuberculosis (per 100 000 population)","2008","Singapore",,"53"
"Number of prevalent tuberculosis cases ","2010","Jamaica",,"260"
"Number of deaths due to tuberculosis excluding HIV","2008","Panama",,"210"
"Prevalence of tuberculosis (per 100 000 population)","2007","Tuvalu",,"343"
"Number of prevalent tuberculosis cases ","2012","Mozambique",,"140000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Dominican Republic",,"4.9"
"Number of deaths due to tuberculosis excluding HIV","2010","Seychelles",,"1.7"
"Number of prevalent tuberculosis cases ","2010","Saint Vincent and the Grenadines",,"35"
"Prevalence of tuberculosis (per 100 000 population)","2007","Colombia",,"56"
"Number of deaths due to tuberculosis excluding HIV","2012","South Sudan",,"3200"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Suriname",,"2.9"
"Number of deaths due to tuberculosis excluding HIV","2008","Singapore",,"100"
"Number of deaths due to tuberculosis excluding HIV","2008","Burkina Faso",,"1500"
"Number of prevalent tuberculosis cases ","2007","Madagascar",,"95000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Samoa",,"2.7"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Panama",,"5.8"
"Number of deaths due to tuberculosis excluding HIV","2007","Tuvalu",,"3.2"
"Prevalence of tuberculosis (per 100 000 population)","2010","Jamaica",,"9.4"
"Prevalence of tuberculosis (per 100 000 population)","2011","Israel",,"8.3"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Timor-Leste",,"62"
"Number of deaths due to tuberculosis excluding HIV","2012","Sao Tome and Principe",,"30"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Tuvalu",,"18"
"Prevalence of tuberculosis (per 100 000 population)","2007","Andorra",,"9.9"
"Number of prevalent tuberculosis cases ","2010","Yemen",,"17000"
"Number of deaths due to tuberculosis excluding HIV","2012","Lesotho",,"340"
"Number of deaths due to tuberculosis excluding HIV","2010","Madagascar",,"10000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Lesotho",,"17"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Madagascar",,"48"
"Number of prevalent tuberculosis cases ","2007","Viet Nam",,"230000"
"Prevalence of tuberculosis (per 100 000 population)","2008","Dominican Republic",,"118"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Spain",,"0.63"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Chile",,"1.5"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Qatar",,"0.22"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Japan",,"1.7"
"Prevalence of tuberculosis (per 100 000 population)","2011","Estonia",,"34"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Serbia",,"1.7"
"Prevalence of tuberculosis (per 100 000 population)","2009","Sierra Leone",,"1270"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Angola",,"28"
"Number of deaths due to tuberculosis excluding HIV","2007","Uruguay",,"62"
"Number of deaths due to tuberculosis excluding HIV","2008","Nicaragua",,"190"
"Number of deaths due to tuberculosis excluding HIV","2007","Colombia",,"1100"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Hungary",,"0.73"
"Number of prevalent tuberculosis cases ","2011","Belize",,"170"
"Number of deaths due to tuberculosis excluding HIV","2010","Qatar",,"3.8"
"Number of deaths due to tuberculosis excluding HIV","2008","Papua New Guinea",,"3400"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Pakistan",,"37"
"Number of deaths due to tuberculosis excluding HIV","2010","Japan",,"2200"
"Number of prevalent tuberculosis cases ","2008","Dominican Republic",,"11000"
"Prevalence of tuberculosis (per 100 000 population)","2011","Australia",,"8.2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Poland",,"2.1"
"Number of prevalent tuberculosis cases ","2009","Slovakia",,"700"
"Number of prevalent tuberculosis cases ","2009","Lesotho",,"8600"
"Number of deaths due to tuberculosis excluding HIV","2012","Trinidad and Tobago",,"28"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Germany",,"0.41"
"Prevalence of tuberculosis (per 100 000 population)","2012","South Africa",,"857"
"Number of prevalent tuberculosis cases ","2007","Burkina Faso",,"14000"
"Number of prevalent tuberculosis cases ","2012","Djibouti",,"7700"
"Number of deaths due to tuberculosis excluding HIV","2009","Turkmenistan",,"700"
"Number of prevalent tuberculosis cases ","2012","Bangladesh",,"670000"
"Number of deaths due to tuberculosis excluding HIV","2007","Guinea-Bissau",,"340"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Paraguay",,"3"
"Number of deaths due to tuberculosis excluding HIV","2009","Togo",,"500"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Zambia",,"19"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Eritrea",,"5.2"
"Prevalence of tuberculosis (per 100 000 population)","2012","Benin",,"110"
"Number of deaths due to tuberculosis excluding HIV","2009","Gambia",,"730"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Finland",,"0.29"
"Number of deaths due to tuberculosis excluding HIV","2011","Zimbabwe",,"4600"
"Number of prevalent tuberculosis cases ","2010","China",,"1500000"
"Number of prevalent tuberculosis cases ","2011","Barbados",,"2.2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Ecuador",,"4.6"
"Prevalence of tuberculosis (per 100 000 population)","2009","Chile",,"22"
"Prevalence of tuberculosis (per 100 000 population)","2011","Costa Rica",,"16"
"Prevalence of tuberculosis (per 100 000 population)","2008","Dominica",,"16"
"Prevalence of tuberculosis (per 100 000 population)","2007","Bulgaria",,"70"
"Number of prevalent tuberculosis cases ","2012","Samoa",,"57"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Democratic Republic of the Congo",,"54"
"Number of deaths due to tuberculosis excluding HIV","2010","Saint Vincent and the Grenadines",,"5.2"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Ecuador",,"6.4"
"Number of prevalent tuberculosis cases ","2011","Guyana",,"1000"
"Number of deaths due to tuberculosis excluding HIV","2008","Zimbabwe",,"3700"
"Number of deaths due to tuberculosis excluding HIV","2009","Saudi Arabia",,"1000"
"Number of prevalent tuberculosis cases ","2009","Democratic Republic of the Congo",,"340000"
"Number of prevalent tuberculosis cases ","2012","Gambia",,"8800"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Algeria",,"15"
"Number of prevalent tuberculosis cases ","2011","Cyprus",,"69"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Timor-Leste",,"73"
"Prevalence of tuberculosis (per 100 000 population)","2008","Serbia",,"44"
"Prevalence of tuberculosis (per 100 000 population)","2010","Luxembourg",,"8.9"
"Number of deaths due to tuberculosis excluding HIV","2012","Angola",,"8700"
"Prevalence of tuberculosis (per 100 000 population)","2011","Vanuatu",,"97"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Israel",,"0.23"
"Number of prevalent tuberculosis cases ","2007","Cabo Verde",,"1300"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Austria",,"0.38"
"Number of deaths due to tuberculosis excluding HIV","2012","Mozambique",,"13000"
"Number of prevalent tuberculosis cases ","2009","Finland",,"1100"
"Number of prevalent tuberculosis cases ","2010","Canada",,"2000"
"Number of prevalent tuberculosis cases ","2009","The former Yugoslav Republic of Macedonia",,"560"
"Number of deaths due to tuberculosis excluding HIV","2010","Congo",,"1800"
"Number of deaths due to tuberculosis excluding HIV","2008","Uganda",,"5900"
"Number of deaths due to tuberculosis excluding HIV","2007","Republic of Korea",,"2400"
"Number of deaths due to tuberculosis excluding HIV","2010","Portugal",,"130"
"Number of prevalent tuberculosis cases ","2012","Switzerland",,"570"
"Number of deaths due to tuberculosis excluding HIV","2007","Seychelles",,"1.1"
"Number of deaths due to tuberculosis excluding HIV","2010","Chad",,"2300"
"Number of prevalent tuberculosis cases ","2008","Indonesia",,"760000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Saint Lucia",,"1.2"
"Number of prevalent tuberculosis cases ","2009","Timor-Leste",,"7300"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Estonia",,"3.6"
"Number of deaths due to tuberculosis excluding HIV","2007","Swaziland",,"390"
"Number of prevalent tuberculosis cases ","2009","Paraguay",,"4200"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Palau",,"17"
"Number of deaths due to tuberculosis excluding HIV","2007","Nauru",,"0.48"
"Number of prevalent tuberculosis cases ","2012","Sudan",,"77000"
"Prevalence of tuberculosis (per 100 000 population)","2012","France",,"12"
"Prevalence of tuberculosis (per 100 000 population)","2011","Tonga",,"27"
"Number of deaths due to tuberculosis excluding HIV","2012","Chile",,"210"
"Number of prevalent tuberculosis cases ","2011","Tunisia",,"4400"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Armenia",,"8.6"
"Number of prevalent tuberculosis cases ","2009","Samoa",,"51"
"Number of prevalent tuberculosis cases ","2011","Bahrain",,"320"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Algeria",,"14"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Nauru",,"3.7"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Republic of Korea",,"5.1"
"Number of prevalent tuberculosis cases ","2008","Cyprus",,"77"
"Number of prevalent tuberculosis cases ","2007","Mauritius",,"520"
"Number of prevalent tuberculosis cases ","2008","Denmark",,"520"
"Number of prevalent tuberculosis cases ","2011","Maldives",,"140"
"Number of prevalent tuberculosis cases ","2008","New Zealand",,"430"
"Number of prevalent tuberculosis cases ","2010","Libya",,"3500"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","The former Yugoslav Republic of Macedonia",,"0.82"
"Prevalence of tuberculosis (per 100 000 population)","2010","Germany",,"7.7"
"Number of deaths due to tuberculosis excluding HIV","2009","Saint Lucia",,"2.6"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","El Salvador",,"1.4"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Estonia",,"2.8"
"Number of deaths due to tuberculosis excluding HIV","2011","India",,"300000"
"Number of deaths due to tuberculosis excluding HIV","2008","Malta",,"0.94"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Central African Republic",,"65"
"Number of deaths due to tuberculosis excluding HIV","2011","Iraq",,"970"
"Number of deaths due to tuberculosis excluding HIV","2010","Yemen",,"1400"
"Number of prevalent tuberculosis cases ","2007","Liberia",,"17000"
"Number of prevalent tuberculosis cases ","2008","Philippines",,"490000"
